feature,F_score,F_pvalue,MI,AUC,Cohens_d,MW_pvalue,KS_stat,neg_log_MWp,composite_score,MW_pvalue_FDR,FDR_significant,is_strong_univariate
SumEntropy,7.568156810186325,0.006120809005584897,0.08671124645234696,0.6506535947712417,0.3531924244183371,5.104365383682854e-06,0.3803921568627451,5.292058245251315,0.9308217679978293,7.146111537155996e-05,True,False
Variance,10.56707675351624,0.0012158797767076763,0.05721222664578551,0.6213943355119826,0.40447422715652837,0.00023815000942465766,0.3176470588235294,3.6231493969654216,0.8185570031562023,0.0011113667106484025,True,False
Entropy,7.270935017349181,0.007205341846762524,0.0419992934008564,0.640087145969499,0.31281059842836834,2.229521657100132e-05,0.31241830065359477,4.651788304649472,0.7509503456069769,0.00015606651599700923,True,False
SumVariance,7.147717006109266,0.007710956437749524,0.03273641311791908,0.5913507625272332,0.3333375861837815,0.005689498163208472,0.26666666666666666,2.2449260384486736,0.5776613620665679,0.01593059485698372,True,False
ASM,1.063494063843325,0.30283651853473437,0.04349258556534985,0.6082788671023965,0.1127999180910749,0.0010468281769873003,0.27712418300653596,2.9801245961721934,0.45843383905200535,0.003663898619455551,True,False
Homogeneity,3.394004553684686,0.06592874051346219,0.0,0.5753376906318083,0.20903896834116936,0.022584512936970606,0.17712418300653596,1.6461892711006798,0.313059740082618,0.04516902587394121,True,False
DifferenceEntropy,2.06001669150806,0.15173132543179416,0.016775381450197635,0.5735294117647058,0.15897300253374455,0.026037742233641425,0.14901960784313725,1.584396676708357,0.2827740425550527,0.045566048908872496,True,False
DifferenceVariance,1.2288269005589783,0.26808092690236257,0.0105287934822198,0.5714161220043573,0.1398831155539229,0.030643464381830524,0.16601307189542483,1.5136621373142298,0.25437228522017147,0.047361167029618,True,False
Dissimilarity,1.3330604921554994,0.24872265603933377,0.014657876374948087,0.5701089324618737,0.13057039173065296,0.033829405021155716,0.15359477124183007,1.4707056403527583,0.2499689221023671,0.047361167029618,True,False
Contrast,0.9428944903372266,0.33192714876123186,0.0018397918356833909,0.57880174291939,0.11726027704032566,0.01706709144249585,0.16797385620915034,1.767840484632331,0.2417159257280407,0.039823213365823645,True,False
MaxProbability,0.013705919178585902,0.906842082175367,0.03373068606160756,0.5426143790849673,0.01273116137999711,0.19713804814615044,0.19738562091503267,0.7052295476879821,0.18288620682785747,0.2509029703678278,False,False
IMCorr2,1.008157204099168,0.31575082754373146,0.013171016605470598,0.5371459694989107,0.11374350667782519,0.2609276151023001,0.10065359477124183,0.583479955196891,0.13650042813141522,0.30441555095268347,False,False
IMCorr1,0.07269898690341257,0.7875398562248994,0.011290671957391751,0.5240522875816994,0.029759226113137274,0.4667284477335619,0.10784313725490197,0.3309357274688547,0.06261911094466047,0.502630636020759,False,False
Correlation,0.013544156832639764,0.9073909597126232,0.018399567078845935,0.5115468409586057,0.013474190511106873,0.7269157249986107,0.08758169934640522,0.13851593616930427,0.035681712361191706,0.7269157249986107,False,False
